name;grep-runtime;grep-result;re-runtime;re-result;pcre2-runtime;pcre2-result;rsaregex-runtime;rsaregex-result;rsaregex-matchtime
392;0.01;True;0.0;False;0.01;False;ERR;ERR;ERR
393;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
394;0.01;False;0.05;False;0.01;False;ERR;ERR;ERR
395;0.01;False;0.01;True;0.01;True;3.03;True;0.332775952
396;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR
397;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
398;0.01;False;0.01;False;0.01;False;0.04;False;0.0005979620000000005
399;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
400;0.01;False;0.68;False;1.72;False;ERR;ERR;ERR
401;0.01;False;TO;TO;TO;TO;0.39;False;0.08477152399999999
402;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
403;0.0;False;1.1;False;0.01;False;TO;TO;TO
404;0.02;True;0.01;False;0.01;False;ERR;ERR;ERR
405;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
406;ERR;ERR;0.01;False;ERR;ERR;TO;TO;TO
407;ERR;ERR;2.93;False;0.01;False;1.71;False;0.21449829300000012
408;0.33;True;0.01;True;0.01;True;1.35;True;0.3680428319999999
409;0.01;False;0.06;False;0.09;False;TO;TO;TO
410;ERR;ERR;0.4;False;0.01;False;ERR;ERR;ERR
411;TO;TO;0.01;True;0.01;True;0.69;True;0.192602891
412;0.01;False;0.01;False;0.01;False;TO;TO;TO
413;0.01;False;2.79;False;TO;TO;ERR;ERR;ERR
414;0.01;False;0.02;False;0.01;False;TO;TO;TO
415;0.01;False;0.01;False;0.01;False;0.08;False;0.0024572699999999975
416;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR
417;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
418;0.01;False;0.0;True;0.01;True;ERR;ERR;ERR
419;TO;TO;0.0;True;0.01;True;ERR;ERR;ERR
420;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
421;0.01;False;0.09;False;0.01;False;ERR;ERR;ERR
422;0.01;False;0.5;False;0.08;False;ERR;ERR;ERR
423;0.01;False;0.01;False;0.01;False;1.55;False;0.23576327499999983
424;0.0;False;0.01;False;0.0;False;ERR;ERR;ERR
425;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
426;0.01;False;1.73;False;0.01;False;ERR;ERR;ERR
427;0.0;False;0.01;True;0.01;True;TO;TO;TO
428;0.0;False;0.01;True;0.01;True;0.18;True;0.123497522
429;TO;TO;0.01;True;0.01;True;0.08;True;0.052192249999999996
430;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR
431;0.0;False;TO;TO;TO;TO;ERR;ERR;ERR
432;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
433;0.01;False;0.92;False;0.01;False;TO;TO;TO
434;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR
435;0.01;False;0.01;False;0.01;False;TO;TO;TO
436;TO;TO;2.06;False;3.27;False;ERR;ERR;ERR
437;0.01;False;0.0;True;0.01;True;TO;TO;TO
438;0.01;False;0.02;False;0.01;False;TO;TO;TO
439;0.01;False;0.1;False;0.01;False;ERR;ERR;ERR
440;ERR;ERR;0.01;False;0.01;False;2.4;False;0.15654387099999978
441;0.01;False;0.0;True;0.01;True;ERR;ERR;ERR
442;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
443;ERR;ERR;0.08;False;0.97;False;TO;TO;TO
444;TO;TO;TO;TO;0.66;True;ERR;ERR;ERR
445;0.18;True;0.0;True;0.0;True;0.8;True;0.713217378
446;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
447;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
448;ERR;ERR;0.0;True;0.01;True;0.27;True;0.006017600000000012
449;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
450;TO;TO;0.01;True;0.01;True;ERR;ERR;ERR
451;ERR;ERR;TO;TO;TO;TO;TO;TO;TO
452;0.01;False;TO;TO;ERR;ERR;TO;TO;TO
453;0.01;True;0.01;False;0.0;False;ERR;ERR;ERR
454;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
455;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
456;TO;TO;0.32;False;0.49;False;TO;TO;TO
457;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
458;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
459;0.59;False;0.01;False;0.01;False;0.72;False;0.13055554199999997
460;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
461;0.01;False;0.01;False;0.01;False;TO;TO;TO
462;0.04;True;0.01;True;0.01;True;0.2;True;0.092429991
463;0.01;False;0.0;False;0.01;False;TO;TO;TO
464;0.01;False;1.01;True;1.91;True;ERR;ERR;ERR
465;0.01;False;0.01;False;0.02;False;ERR;ERR;ERR
466;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR
467;0.01;False;0.09;False;0.07;False;ERR;ERR;ERR
468;0.01;False;0.16;False;0.02;False;ERR;ERR;ERR
469;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR
470;0.0;False;0.01;False;0.01;False;0.07;False;0.001410616999999989
471;0.01;False;0.0;False;0.01;False;0.22;False;0.13484037599999998
472;0.01;False;0.96;False;0.01;False;2.58;False;0.164380446
473;0.01;False;TO;TO;0.01;False;2.58;False;0.23075437399999998
474;0.0;False;0.0;False;0.01;False;ERR;ERR;ERR
475;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
476;0.01;False;0.0;True;0.01;True;TO;TO;TO
477;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
478;0.01;False;0.0;False;0.01;False;2.68;False;0.3765482090000001
479;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
480;0.01;False;2.32;False;0.01;False;ERR;ERR;ERR
481;0.01;False;0.38;False;0.03;False;1.2;False;0.11304675399999997
482;0.01;False;0.0;True;0.01;True;0.23;True;0.188850151
483;TO;TO;TO;TO;0.42;True;ERR;ERR;ERR
484;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR
485;ERR;ERR;0.0;False;0.0;False;ERR;ERR;ERR
486;0.01;True;0.56;False;0.71;False;ERR;ERR;ERR
487;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR
488;0.01;False;0.0;False;0.01;False;TO;TO;TO
489;0.1;True;0.01;True;0.01;True;0.18;True;0.122157229
490;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
491;0.01;False;1.02;False;1.03;False;ERR;ERR;ERR
492;2.38;False;TO;TO;TO;TO;ERR;ERR;ERR
493;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
494;1.05;True;TO;TO;0.13;True;ERR;ERR;ERR
495;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
496;0.01;False;1.07;False;0.01;False;0.29;False;0.05551779999999998
497;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
498;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
499;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR
500;0.01;False;0.51;False;0.01;False;1.06;False;0.09081442299999998
501;0.01;False;2.35;False;0.01;False;TO;TO;TO
502;0.01;False;0.0;False;0.0;False;ERR;ERR;ERR
503;0.01;False;0.01;True;0.01;True;TO;TO;TO
504;0.01;False;TO;TO;0.01;False;TO;TO;TO
505;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
506;ERR;ERR;0.01;False;0.01;False;TO;TO;TO
507;0.01;False;0.01;False;0.01;False;0.22;False;0.00659902200000001
508;TO;TO;0.62;False;1.24;False;0.2;False;0.16579607500000001
509;ERR;ERR;0.01;False;0.0;False;TO;TO;TO
510;0.01;False;1.65;True;2.06;True;TO;TO;TO
511;0.01;False;0.01;False;0.01;False;0.55;False;0.014851143999999983
512;0.01;False;0.89;False;0.01;False;ERR;ERR;ERR
513;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
514;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
515;0.01;False;1.19;False;1.78;False;TO;TO;TO
516;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
517;0.01;False;0.01;True;0.01;True;TO;TO;TO
518;0.01;False;TO;TO;2.94;False;ERR;ERR;ERR
519;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
520;ERR;ERR;0.0;False;0.0;False;TO;TO;TO
521;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
522;TO;TO;0.3;False;0.45;False;ERR;ERR;ERR
523;0.01;False;0.0;False;0.01;False;0.05;False;0.0008490129999999957
524;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
525;0.01;False;0.01;True;0.01;True;0.27;True;0.15556195699999997
526;0.01;False;0.01;True;0.01;True;TO;TO;TO
527;0.13;True;0.01;True;0.01;True;ERR;ERR;ERR
528;0.01;False;0.01;True;0.01;True;TO;TO;TO
529;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR
530;0.01;False;0.64;False;0.73;False;ERR;ERR;ERR
531;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR
532;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
533;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
534;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
535;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR
536;0.01;False;0.01;True;0.01;True;TO;TO;TO
537;0.01;False;0.01;False;0.01;False;TO;TO;TO
538;0.25;True;0.01;True;0.01;True;0.82;True;0.729443296
539;0.01;False;TO;TO;0.01;False;TO;TO;TO
540;0.01;False;0.57;False;0.01;False;ERR;ERR;ERR
541;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
542;0.01;False;0.27;False;0.01;False;0.84;False;0.079585888
543;0.01;False;0.02;False;0.01;False;ERR;ERR;ERR
544;0.01;False;1.18;False;0.01;False;ERR;ERR;ERR
545;3.15;False;0.07;False;0.1;False;0.21;False;0.058152231
546;1.03;True;TO;TO;0.18;True;ERR;ERR;ERR
547;0.01;False;0.01;False;0.01;False;1.18;False;0.176382578
548;ERR;ERR;0.01;False;0.0;False;ERR;ERR;ERR
549;ERR;ERR;0.01;False;0.01;False;0.07;False;0.00151337
550;TO;TO;0.01;True;0.01;True;1.92;True;0.20555566599999997
551;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR
552;ERR;ERR;TO;TO;0.01;False;TO;TO;TO
553;ERR;ERR;0.01;False;0.01;False;TO;TO;TO
554;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
555;0.12;True;0.01;True;0.01;True;0.4;True;0.172234213
556;ERR;ERR;0.31;True;0.26;True;ERR;ERR;ERR
557;0.01;False;0.0;True;0.01;True;ERR;ERR;ERR
558;0.74;True;0.01;True;0.01;True;0.11;True;0.075125107
559;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
560;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
561;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
562;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
563;0.01;False;0.08;False;0.09;False;ERR;ERR;ERR
564;TO;TO;0.0;True;0.01;True;0.25;True;0.22357115700000002
565;ERR;ERR;0.01;False;0.01;False;TO;TO;TO
566;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
567;TO;TO;0.34;False;0.48;False;ERR;ERR;ERR
568;0.01;False;TO;TO;0.01;False;TO;TO;TO
569;0.01;False;0.91;False;1.15;False;ERR;ERR;ERR
570;0.01;False;0.81;False;1.03;False;ERR;ERR;ERR
571;0.01;False;0.01;False;0.01;False;0.36;False;0.14460403900000002
572;0.0;True;0.01;True;0.01;True;ERR;ERR;ERR
573;0.01;False;TO;TO;ERR;ERR;TO;TO;TO
574;0.0;False;0.69;False;0.95;False;TO;TO;TO
575;0.01;False;0.0;False;ERR;ERR;ERR;ERR;ERR
576;0.01;False;1.66;False;0.01;False;ERR;ERR;ERR
577;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR
578;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
579;0.01;False;0.01;False;0.01;False;TO;TO;TO
580;ERR;ERR;0.01;True;0.01;True;TO;TO;TO
581;0.01;False;0.01;False;0.01;False;TO;TO;TO
582;0.1;True;0.01;True;0.01;True;ERR;ERR;ERR
583;0.01;False;0.01;True;0.01;True;0.34;True;0.10982124199999999
584;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR
585;0.01;False;0.0;False;0.01;False;ERR;ERR;ERR
586;0.01;False;0.01;False;0.01;False;TO;TO;TO
587;TO;TO;0.48;False;0.72;False;0.17;False;0.13213161099999998
588;0.01;False;1.76;False;0.01;False;ERR;ERR;ERR
589;0.09;True;0.01;True;0.01;True;0.2;True;0.12199323000000001
590;0.01;False;0.01;True;0.01;True;TO;TO;TO
591;TO;TO;TO;TO;0.43;True;ERR;ERR;ERR
592;ERR;ERR;0.01;False;0.01;False;TO;TO;TO
593;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR
594;ERR;ERR;0.0;False;0.01;False;ERR;ERR;ERR
595;0.0;False;0.01;False;0.01;False;ERR;ERR;ERR
596;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
597;0.0;False;0.01;False;0.01;False;0.15;False;0.08423222299999998
598;0.01;False;0.02;True;0.02;True;TO;TO;TO
599;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
600;0.01;False;0.02;False;0.01;False;ERR;ERR;ERR
601;0.01;False;0.62;False;1.11;False;ERR;ERR;ERR
602;0.01;False;0.01;True;0.01;True;TO;TO;TO
603;0.01;False;1.15;False;0.01;False;0.98;False;0.39766523099999995
604;0.01;True;0.01;True;0.01;True;1.48;True;0.024565670999999956
605;0.01;False;0.54;False;0.83;False;TO;TO;TO
606;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
607;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
608;0.03;True;0.01;True;0.01;True;0.48;True;0.388614802
609;0.01;False;0.01;True;0.0;True;TO;TO;TO
610;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
611;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
612;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR
613;ERR;ERR;0.01;True;0.01;True;TO;TO;TO
614;ERR;ERR;0.01;False;ERR;ERR;TO;TO;TO
615;ERR;ERR;0.01;False;0.0;False;0.74;False;0.11073448100000005
616;0.01;False;0.02;False;0.0;False;ERR;ERR;ERR
617;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
618;ERR;ERR;0.01;True;0.0;True;ERR;ERR;ERR
619;TO;TO;0.01;True;0.01;True;0.74;True;0.24259315400000003
620;ERR;ERR;0.01;False;0.01;False;TO;TO;TO
621;0.01;False;TO;TO;TO;TO;TO;TO;TO
622;0.01;False;0.01;False;0.01;False;TO;TO;TO
623;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR
624;0.02;False;TO;TO;TO;TO;ERR;ERR;ERR
625;0.01;False;0.09;False;0.01;False;ERR;ERR;ERR
626;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR
627;0.01;True;0.01;True;0.01;True;0.9;True;0.015224182999999947
628;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR
629;0.01;False;0.01;True;0.01;True;TO;TO;TO
630;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
631;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR
632;0.01;False;TO;TO;0.01;False;TO;TO;TO
633;0.02;False;0.01;False;0.01;False;0.91;False;0.1854061429999999
634;ERR;ERR;0.01;False;0.01;False;TO;TO;TO
635;0.03;False;0.01;False;0.01;False;0.24;False;0.19525210099999998
636;0.01;False;0.28;False;0.62;False;ERR;ERR;ERR
637;0.02;True;0.01;True;0.01;True;0.18;True;0.0038855499999999876
638;ERR;ERR;0.36;False;0.74;False;0.22;False;0.119757565
639;ERR;ERR;2.03;False;0.01;False;ERR;ERR;ERR
640;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR
641;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
642;TO;TO;0.09;False;0.02;False;ERR;ERR;ERR
643;0.01;False;0.01;True;0.01;True;TO;TO;TO
644;0.01;False;2.5;False;3.15;False;2.86;False;0.432812781
645;0.01;False;0.01;False;0.01;False;TO;TO;TO
646;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
647;0.01;False;0.01;False;0.01;False;TO;TO;TO
648;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
649;0.01;False;0.0;False;0.01;False;TO;TO;TO
650;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR
651;0.01;False;2.56;False;3.19;False;ERR;ERR;ERR
652;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
653;0.01;False;0.19;False;2.46;False;ERR;ERR;ERR
654;ERR;ERR;0.01;False;0.01;False;ERR;ERR;ERR
655;ERR;ERR;0.01;False;0.02;False;ERR;ERR;ERR
656;0.0;False;0.01;True;0.0;True;TO;TO;TO
657;ERR;ERR;0.0;True;0.01;True;ERR;ERR;ERR
658;0.01;False;0.29;False;0.01;False;TO;TO;TO
659;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
660;0.01;False;0.01;False;0.01;False;TO;TO;TO
661;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR
662;ERR;ERR;0.01;True;0.01;True;ERR;ERR;ERR
663;ERR;ERR;0.01;False;0.0;False;TO;TO;TO
664;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR
665;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR
666;0.01;False;TO;TO;0.24;False;ERR;ERR;ERR
667;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
668;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR
669;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
670;ERR;ERR;TO;TO;0.01;False;0.47;False;0.010264828999999975
671;0.02;True;0.01;True;0.01;True;0.45;True;0.31441194699999997
672;0.01;False;0.49;False;0.06;False;ERR;ERR;ERR
673;0.01;False;0.01;False;0.01;False;0.04;False;0.0003504079999999965
674;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
675;ERR;ERR;TO;TO;TO;TO;TO;TO;TO
676;0.02;False;0.01;False;0.02;False;0.44;False;0.193850458
677;0.01;False;0.01;False;0.01;False;1.2;False;0.1988669540000001
678;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
679;0.01;False;0.01;True;0.01;True;TO;TO;TO
680;TO;TO;TO;TO;0.42;True;ERR;ERR;ERR
681;0.01;True;0.01;False;0.01;False;ERR;ERR;ERR
682;ERR;ERR;0.01;True;0.01;True;TO;TO;TO
683;0.01;False;0.01;False;0.01;False;0.22;False;0.0058163920000000036
684;0.01;False;1.12;False;1.83;False;TO;TO;TO
685;0.02;False;0.01;False;0.01;False;0.15;False;0.084575188
686;ERR;ERR;0.01;False;0.01;False;TO;TO;TO
687;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
688;0.02;False;0.12;False;0.01;False;ERR;ERR;ERR
689;0.01;False;0.0;False;0.01;False;TO;TO;TO
690;0.01;False;0.01;False;0.0;False;ERR;ERR;ERR
691;0.02;False;1.5;False;0.01;False;ERR;ERR;ERR
692;0.01;False;TO;TO;0.01;False;ERR;ERR;ERR
693;0.02;False;0.36;False;0.52;False;TO;TO;TO
694;ERR;ERR;0.01;False;0.01;False;TO;TO;TO
695;0.02;False;0.27;False;0.42;False;ERR;ERR;ERR
696;0.01;True;0.01;True;0.01;True;ERR;ERR;ERR
697;0.02;False;0.01;False;0.01;False;ERR;ERR;ERR
698;ERR;ERR;0.01;True;0.02;True;2.75;True;0.5687925689999997
699;ERR;ERR;0.01;True;0.01;True;1.29;True;0.14943297500000008
700;0.01;False;0.09;False;0.07;False;ERR;ERR;ERR
701;0.77;False;TO;TO;TO;TO;ERR;ERR;ERR
702;TO;TO;0.01;True;0.01;True;ERR;ERR;ERR
703;0.01;False;0.01;True;0.01;True;ERR;ERR;ERR
704;ERR;ERR;0.01;False;0.01;False;TO;TO;TO
705;0.01;False;0.01;False;0.01;False;ERR;ERR;ERR
706;0.0;False;0.01;True;0.01;True;0.99;True;0.20719804499999994
707;0.02;False;0.01;True;0.01;True;ERR;ERR;ERR
708;0.02;False;0.02;False;0.01;False;ERR;ERR;ERR
709;0.01;False;0.03;False;0.01;False;TO;TO;TO
710;0.01;False;TO;TO;0.01;False;TO;TO;TO
711;0.0;False;0.01;False;0.01;False;0.9;False;0.09158623700000001
712;0.01;False;0.01;False;0.01;False;TO;TO;TO
713;0.09;True;0.01;True;0.01;True;ERR;ERR;ERR
714;0.01;False;TO;TO;TO;TO;ERR;ERR;ERR
715;0.02;False;TO;TO;2.85;False;ERR;ERR;ERR
716;0.01;False;0.01;True;0.01;True;TO;TO;TO
717;0.02;True;0.01;True;0.01;True;0.36;True;0.12974916700000003
718;0.02;False;0.01;False;0.01;False;2.06;False;0.21381870800000002
719;0.01;False;TO;TO;TO;TO;TO;TO;TO
720;0.01;False;1.15;False;0.01;False;ERR;ERR;ERR
